question,answer
What is the allowable wind speed for any boom length and wind speed greater than or equal to 15 m/s for the SCC3000A crawler crane?,The allowable wind speed for any boom length and wind speed greater than or equal to 15 m/s is lower down the boom to the ground for the SCC3000A crawler crane.
What should be the ground roughness while operating the SCC3000A crawler crane?,The ground roughness should be no more than 0.57° while operating the SCC3000A crawler crane.
What should be the condition of the ground while operating the SCC3000A crawler crane within 13.8 m/s with dynamic wind power 120 N/m2 and there is no obstacle within the working radius?,The ground should be hard enough while operating the SCC3000A crawler crane within 13.8 m/s with dynamic wind power 120 N/m2 and there is no obstacle within the working radius.
What is the title of the document referred to in the text?,The title of the document is not mentioned in the provided text.
What is a crawler crane referred to in the text?,A SCC3000A crawler crane is referred to in the text.
What is the topic of Chapter 2 discussed in the text?,The duty code is the topic of Chapter 2 discussed in the text.
How many duty modes does the main boom have?,"The main boom has one duty mode, which is H."
What is the duty mode code for fixed jib duty?,The duty mode code for fixed jib duty is FJ.
What is the duty mode code for luffing jib duty?,The duty mode code for luffing jib duty is LJ.
What is the duty mode code for shield duty?,The duty mode code for shield duty is FJh.
How many duty modes are there in total?,There are four duty modes in total.
What is the chapter about on page 6 of the SCC3000A crawler crane load charts?,Chapter 3 Working Range Diagram for H duty.
What is the subject of section 3.1.1 in the load charts?,H Duty Combination for different boom lengths.
"What is the rated load capacity when the boom length is 12m, and the working radius is 20m, under H duty?","The load capacity can be found in the table in section 3.1.1, but it's not provided for this specific combination of boom length and working radius."
What is the next chapter after page 6 in the load charts?,Page 7 is about the Working Radius Diagram under H Duty.
What is the note about on page 8 in the H Duty Load Chart?,"Note 1 states that the actual lifting capacity is the rated lifting capacity minus the weight of hooks, riggings, and rope winding on the boom head. Note 2 states that when the extension boom is installed, the rated load of the main hook is the load in the chart minus the boom head weighting 0.42 t."
Where can the reader find the details of the H Duty Load Chart?,The details of the chart are in the attachment of section 3.1.3.
What is the model of the crawler crane mentioned in the text?,SCC3000A
What is the section of the document about?,Load charts for the SCC3000A crawler crane
Which page of the document is section 3.2.1 located on?,Page 9
What is the subsection 3.2.1 about?,FJ Duty Combination
What is the jib length in the first row of the table in subsection 3.2.1?,6m
What is the boom insert length in the first row of the table in subsection 3.2.1?,11.5m
What is the boom to jib angle in the first row of the table in subsection 3.2.1?,10°
What is the longest boom combination length in the note below the table in subsection 3.2.1?,62m
What is the section located on page 10 of the document?,3.2.2 Working Radius Diagram under FJ Duty
What is the section located on page 11 of the document?,3.2.3 FJ Duty Load Chart
What is the first note in section 3.2.3 about?,The actual lifting capacity
What should be subtracted from the rated lifting capacity according to the first note in section 3.2.3?,"The weight of hooks, riggings, and rope winding on the boom head."
What is the second note in section 3.2.3 about?,The rated lifting capacity
What conditions should be met according to the second note in section 3.2.3 for the rated lifting capacity to be valid?,It should be tested on a flat and hard ground at an even and stable speed.
What is the document about?,The document is about the load charts for the SCC3000A crawler crane.
Where can the length of the jib be found in the document?,"The length of the jib can be found in section 3.3.1 of the document, under the header ""LJ Duty Combination""."
What is the longest boom combination for the SCC3000A crawler crane?,"The longest boom combination for the SCC3000A crawler crane is 62m, and it includes a 10m boom base, 3m boom insert*1, 6m boom insert*1, 12m boom insert *3, 6m transitional boom*1, and 1m boom head*1."
Where can the working radius diagram for the SCC3000A crawler crane be found in the document?,"The working radius diagram for the SCC3000A crawler crane can be found in section 3.3.2 of the document, under the header ""LJ Working Radius Diagram""."
"According to the document, what should be subtracted from the rated lifting capacity to get the actual lifting capacity?","According to the document, the actual lifting capacity should be the one that rated lifting capacity subtracts the weight of hooks, riggings and rope winding on the boom head."
What is noted regarding the rated lifting capacity in the chart in section 3.3.3?,It is noted in section 3.3.3 that the rated lifting capacity in the chart should be tested on a flat and hard ground at an even and stable speed.
Where can one find more details about LJ Duty Load Chart in the document?,It is noted in section 3.3.3 that one should read the details in the attachment of L J Duty Load Chart.
What is the first combination of shield duty in the SCC3000A crawler crane load charts?,The first combination of shield duty is FJh 20m+12m.
What is the jib length and luffing jib tip of the first shield duty combination?,The jib length is 12m and the luffing jib tip is 1m.
What is the angle between the boom and jib for the first shield duty combination?,The angle between the boom and jib for the first shield duty combination is 20 degrees.
On which page can we find the working radius diagram under FJh duty for the first shield duty combination?,The working radius diagram under FJh duty for the first shield duty combination can be found on page 17.
What is the second combination of shield duty in the SCC3000A crawler crane load charts?,The second combination of shield duty is FJh 20m+7m.
On which page can we find the working radius diagram under FJh duty for the second shield duty combination?,The working radius diagram under FJh duty for the second shield duty combination can be found on page 18.
Where can the actual lifting capacity be found in the FJh Duty Load Chart according to the note in the SCC3000A crawler crane load charts?,"The actual lifting capacity can be found by subtracting the weight of hooks, riggings, and rope winding on the boom head from the rated lifting capacity. The details can be read in the attachment of FJh Duty Load Chart."
What should the operator consider while traveling without load?,The operator should not only take the given gradient into consideration but also the cross slope while traveling without load.
Why is it necessary to prevent the crane from tipping while traveling without load?,It’s necessary to prevent the crane from tipping because in this case the gravity will change suddenly so that the crane may turn over or the hook and boom may crash especially while the boom is up high in the air.
How should the crane be operated while traveling without load?,The crane should be operated stably without emergency stop or emergency start.
Can the crane travel with full boom while traveling with load?,"Yes, the crane can travel with full boom but it should be complied with the load chart."
How should the load be operated while traveling with load?,The load should be operated in radius as small as possible and be close to the earth. It’s only allowed to travel at slow speed.
What should be the condition of the ground while traveling with load?,The ground should be flat and hard enough to support the load. Load swinging should be avoided. The load can be bond on a proper position if necessary.
How should the crane be operated while traveling with load?,The crane should be operated stably without emergency stop or emergency start.
In what condition are the rated load values in the Load Chart calculated?,"The rated load values in the Load Chart are calculated on the condition that the machine is parking on firm and level ground, with load lifted up slowly and steadily."
What does level ground mean?,Level ground means ground within 1% grade.
What should be considered as part of the rated load when calculating the weight that can be lifted?,"The weight of hook block, riggings, slings and wire ropes from boom point to the load should be considered as part of the rated load."
What does the rated load indicated in the table refer to?,The rated load indicated in the table refers to the value obtained from calculation by 75% tipping load when the wind speed is below 9.8 m/s.
"What should be taken into account when operating the crane, in addition to the ratings provided in the Load Chart?","The operator should judge the site condition, reduce the load and slow down the speed accordingly, taking into account the effect of excessive wind load, ground condition, levelness, operation speed or any other negative effect on safety operation."
What is the load radius in the Load Chart?,Load radius is the horizontal distance from axis of swing to center of gravity of the freely suspended load.
What is the boom angle in the Load Chart?,"Boom angle is the angle between horizontal and centerline of boom base and inserts, and is an indication of radius."
Which radius should govern capacity in all cases?,Operating radius shall govern capacity in all cases.
Where is the least stable position for the machine?,The least stable position is over the side of the machine.
Do the lifting capacities listed apply to modified machines or those using equipment other than that specified?,"No, the lifting capacities listed apply only to the machine as originally manufactured and designed."
What should be done with pendant bars that are not used on the crane?,All the pendant bars that are not used on the crane should be removed.
What should be confirmed before lifting?,The crane operator should confirm the lifting conditions and configurations required in the Load Chart are totally fulfilled before lifting. The crane is not allowed to work out the load chart provided by the manufacturer.
What is the boom length of the SCC3000A Crawler Crane?,The boom length of the SCC3000A Crawler Crane is 20-86m.
What is the rear counterweight of the SCC3000A Crawler Crane?,The rear counterweight of the SCC3000A Crawler Crane is 112t.
What is the carbody counterweight of the SCC3000A Crawler Crane?,The carbody counterweight of the SCC3000A Crawler Crane is 40t.
What is the rated value for a boom length of 5m?,The rated value for a boom length of 5m is 300t.
What is the rated value for a boom length of 30m?,The rated value for a boom length of 30m is 173t.
What is the rated value for a boom length of 50m?,The rated value for a boom length of 50m is 156t.
What is the rated value for a boom length of 74m?,The rated value for a boom length of 74m is 3.4t.
What is the rated value for a boom length of 86m?,The rated value for a boom length of 86m is 1.18t.
"What is the rated value for a boom length of 40m, not mentioned in the table but calculated based on the pattern?",The rated value for a boom length of 40m is 20.7t.
"As per note 1, what should be deducted from the rated values to get actual lifting capacity?","The weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
"As per note 2, what are the ground conditions when the rated values are calculated?",The rated values are calculated when the crane is parking on firm and level ground with the load being lifted slowly and steadily.
What are the different hook capacities mentioned in the text?,"The hook capacities mentioned in the text are 260t, 160t, 100t, 50t, and 16t ball hook."
What is the main hook weight of the 16t ball hook?,The main hook weight of the 16t ball hook is 0.91t.
What is the boom extension weight for the 50t hook?,The boom extension weight for the 50t hook is 0.38t.
What is the formula to calculate the rated load value (P') on the corresponding auxiliary hook?,"If P - G0 - g >= 30t, then P' = 30t. If P - G0 - g < 30t, then P' = P - G0 - g."
What is the minimum value of P' if P - G0 - g < 16t?,"If P - G0 - g < 16t, then P' = P - G0 - g, with a minimum value of 0 (assuming G0 and g are both non-negative)."
What is the value of G0 for the main hook?,"The value of G0 for the main hook is mentioned to be 5.13t, 3.18t, 2.25t, 1.7t, or 0.91t, but it's unclear which value corresponds to which hook capacity."
What are the listed radii for this crane in meters?,"The listed radii for this crane are: 13, 19, 24.5, 30.5, 36, 42."
What are the listed jib lengths for this crane in meters?,"The listed jib lengths for this crane are: 13, 19, 24.5, 30.5, 36, 42."
What is the boom length of the crane when the jib is at 13 meters?,The boom length of the crane when the jib is at 13 meters is 29 meters.
What is the rear counterweight of the crane?,The rear counterweight of the crane is 112 tons.
What is the carbody counterweight of the crane?,The carbody counterweight of the crane is 40 tons.
What is the fixed jib offset angle of the crane?,The fixed jib offset angle of the crane is 10 degrees.
What is the rating capacity of the crane at a radius of 13 meters and a jib length of 19 meters?,The rating capacity of the crane at a radius of 13 meters and a jib length of 19 meters is not provided in the table.
What is the rating capacity of the crane at a radius of 30.5 meters and a jib length of 30.5 meters?,The rating capacity of the crane at a radius of 30.5 meters and a jib length of 30.5 meters is 5446 tons.
What is the rating capacity of the crane at a radius of 42 meters and a jib length of 36 meters?,The rating capacity of the crane at a radius of 42 meters and a jib length of 36 meters is 5044 tons.
What is the rating capacity of the crane at a radius of 24.5 meters and a jib length of 24 meters?,The rating capacity of the crane at a radius of 24.5 meters and a jib length of 24 meters is not provided in the table.
What is the rating capacity of the crane at a radius of 30.5 meters and a jib length of 42 meters?,The rating capacity of the crane at a radius of 30.5 meters and a jib length of 42 meters is 6838 tons.
What is the rating capacity of the crane at a radius of 42 meters and a jib length of 48 meters?,The rating capacity of the crane at a radius of 42 meters and a jib length of 48 meters is 7854 tons.
What are the listed boom lengths for this crane in meters when the jib is not attached?,"The listed boom lengths for this crane in meters when the jib is not attached are: 12, 14, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78."
What is the note 1 about?,"Note 1 states that the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
What is note 2 about?,Note 2 states that all rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What are the possible radius values given in the text?,"The possible radius values are 13, 19, 24.5, 30.5, 36, 42 meters."
What are the possible jib lengths given in the text?,"The possible jib lengths are 14, 19, 24.5, 30.5, 36, 42 meters."
What is the boom length for the SCC3000A Crawler Crane - FJ?,The boom length for the SCC3000A Crawler Crane - FJ is 35 or 38 meters.
What is the rear counterweight of the crane?,The rear counterweight of the crane is 112 tons.
What is the carbody counterweight of the crane?,The carbody counterweight of the crane is 40 tons.
What is the fixed jib offset angle for the crane?,The fixed jib offset angle for the crane is 10 degrees.
What is the unit of measurement for the rated values?,The unit of measurement for the rated values is tons.
"What is the note regarding the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip?","The note states that the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
What are the conditions for the rated values?,The rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily.
What is the minimum radius value in the table?,The minimum radius value in the table is 10 meters.
What is the maximum jib length in the table?,The maximum jib length in the table is 42 meters.
What is the minimum rated capacity value in the table?,The minimum rated capacity value in the table is 10 tons.
What is the maximum rated capacity value in the table?,The maximum rated capacity value in the table is 78 tons.
What are the given jib lengths in meters?,"The given jib lengths are 13, 19, 24.5, 30.5, 36, 42 meters."
What are the corresponding radius values for each jib length in the first set?,"The corresponding radius values for jib lengths 13, 19, 24.5, 30.5, 36, 42 meters in the first set are 84.4, 70.6, 86.2, 76.4, 63.6, 56.7, 78.5, 64.8, 57.4; 70.1, 58.3, 51.3, 40.7, 69.4, 59.2, 52.2, 41.8."
What are the corresponding radius values for each jib length in the second set?,"The corresponding radius values for jib lengths 13, 19, 24.5, 30.5, 36, 42 meters in the second set are 61.8, 53.9, 47.3, 39.6, 29.5, 60.6, 55.1, 48.4, 40.8, 29.3; 54.6, 50.4, 43.9, 37.1, 28.7, 21.3, 53.5, 51.4, 44.9, 38.3, 28.5, 21.2."
What are the corresponding radius values for each jib length in the third set?,"The corresponding radius values for jib lengths 13, 19, 24.5, 30.5, 36, 42 meters in the third set are 48.6, 46.9, 41.1, 33.8, 27.8, 20.6, 47.7, 47.5, 41.8, 35.1, 27.7, 20.6; 43.7, 43.6, 38.6, 31.1, 26.7, 20, 42.7, 42.7, 39.6, 32.2, 26.9, 20."
What is the rear counterweight of the given Crawler Crane?,The rear counterweight of the given Crawler Crane is 112 tons.
What is the carbody counterweight of the given Crawler Crane?,The carbody counterweight of the given Crawler Crane is 40 tons.
What is the fixed jib offset angle of the given Crawler Crane?,The fixed jib offset angle of the given Crawler Crane is 10°.
What are the available boom lengths of the given Crawler Crane?,The available boom lengths of the given Crawler Crane are 41 meters and 44 meters.
What is the unit of the given boom length and radius values?,The unit of the given boom length and radius values is meters.
What is the rated capacity of the Crawler Crane when the boom length is 41 meters and the jib length is 13 meters?,"The rated capacity of the Crawler Crane cannot be determined from the given text, as it only provides the radius values for different jib length and boom length configurations."
What are the radius options for this crane?,"The radius options are 13 m, 19 m, 24.5 m, 30.5 m, 36 m, 42 m."
What are the jib options for this crane?,The jib options are 85.5 m and 85.8 m.
What is the boom length for the 47 m boom option?,The boom length for the 47 m boom option is 47 m.
What is the boom length for the 50 m boom option?,The boom length for the 50 m boom option is 50 m.
What is the rear counterweight of the crane?,The rear counterweight of the crane is 112 t.
What is the carbody counterweight of the crane?,The carbody counterweight of the crane is 40 t.
What is the fixed jib offset angle of the crane?,The fixed jib offset angle of the crane is 10 degrees.
What is the unit of the rated values?,The unit of the rated values is t (tonnes).
What are the rated values for the 13 m radius and 47 m boom option?,"78 t, 74 t"
What are the rated values for the 19 m radius and 47 m boom option?,"76 t, 70 t"
What are the rated values for the 24.5 m radius and 47 m boom option?,"72 t, 66 t"
What are the rated values for the 30.5 m radius and 47 m boom option?,"68 t, 62 t"
What are the rated values for the 36 m radius and 47 m boom option?,"64 t, 58 t"
What are the rated values for the 42 m radius and 47 m boom option?,"60 t, 54 t"
What are the rated values for the 13 m radius and 50 m boom option?,"56 t, 50 t"
What are the rated values for the 19 m radius and 50 m boom option?,"52 t, 46 t"
What are the rated values for the 24.5 m radius and 50 m boom option?,"48 t, 42 t"
What are the rated values for the 30.5 m radius and 50 m boom option?,"44 t, 38 t"
What are the rated values for the 36 m radius and 50 m boom option?,"40 t, 34 t"
What are the rated values for the 42 m radius and 50 m boom option?,"36 t, 30 t"
What are the rated values for the 13 m radius and 85.5 m jib option?,"28 t, 22 t"
What are the rated values for the 19 m radius and 85.5 m jib option?,"24 t, 18 t"
What are the rated values for the 24.5 m radius and 85.5 m jib option?,"20 t, 14 t"
What are the rated values for the 13 m radius and 85.8 m jib option?,"16 t, 10 t"
What are the rated values for the 19 m radius and 85.8 m jib option?,"12 t, 2 t (Note: last value might be a typo, it should be 12 t or above)"
What is the radius in meters for the first data point in the first set of radius and jib measurements?,The radius for the first data point in the first set of radius and jib measurements is 13 meters.
What is the jib length in meters for the first data point in the second set of radius and jib measurements?,The jib length for the first data point in the second set of radius and jib measurements is 78.4 meters.
What is the radius in meters for the last data point in the first set of radius and jib measurements?,The radius for the last data point in the first set of radius and jib measurements is 3.2 meters.
What is the jib length in meters for the last data point in the second set of radius and jib measurements?,The jib length for the last data point in the second set of radius and jib measurements is 3.2 meters.
What is the longest jib length in meters in the second set of radius and jib measurements?,The longest jib length in meters in the second set of radius and jib measurements is 80 meters.
What is the shortest jib length in meters in the second set of radius and jib measurements?,The shortest jib length in meters in the second set of radius and jib measurements is 3.2 meters.
What is the offset angle of the fixed jib?,The offset angle of the fixed jib is 10°.
What is the rear counterweight of the crawler crane?,The rear counterweight of the crawler crane is 112 tons.
What is the carbody counterweight of the crawler crane?,The carbody counterweight of the crawler crane is 40 tons.
What is the unit of measurement for the boom length and jib length in the table?,The unit of measurement for the boom length and jib length in the table is meters.
"What is the weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip that should be deducted from the rated values to get actual lifting capacity?","The weight of the hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip that should be deducted from the rated values to get actual lifting capacity is not specified in the text."
What is the rated capacity of the crane at the first set of radius and jib measurements?,"The rated capacity of the crane is not specified in the text, only the radius and jib measurements are provided."
What is the maximum rated capacity of the crane?,The maximum rated capacity of the crane is not specified in the text.
What is the model of the crawler crane?,The model of the crawler crane is SCC3000A.
What are the radius options for this crawler crane?,"The radius options for this crawler crane are 72.9m, 62m, 71.4m, 63m, 61.3m, 48.7m, 61.8m, 58m, 46.7m, 55.2m, 54.8m, 48.1m, 36.4m, 54m, 53.7m, 46.2m, 35.5m, 48.7m, 48.5m, 47.5m, 35.9m, 27.6m, 47.7m, 47.5m, 45.6m, 35m, 27.1m, 43.4m, 43.3m, 43.2m, 35.3m, 27.1m, 20.4m, 42.4m, 42.4m, 42.3m, 34.4m, 26.6m, 20.2m, 38.8m, 38.8m, 38.8m, 34.7m, 26.5m, 20m, 38m, 38m, 38m, 33.9m, 26.1m, 19.8m, 34.9m, 35m, 35.1m, 33.6m, 26m, 19.5m, 34.1m, 34.2m, 34.4m, 33.3m, 25.7m, 19.4m, 31.5m, 31.7m, 31.9m, 31.4m, 25.5m, 19.1m, 30.8m, 31m, 31.1m, 31.1m, 25.2m, 18.9m, 28.6m, 28.8m, 29m, 28.3m, 24.7m, 18.6m, 26m, 26.3m, 26.5m, 26.5m, 23m, 18.4m, 25.3m, 25.6m, 25.8m, 25.9m, 23.6m, 18.2m, 23.7m, 24m, 24.2m, 24.3m, 24.3m, 21.7m, 17.9m, 23m, 23.3m, 23.6m, 23.7m, 22.3m, 17.8m, 19.7m, 20.1m, 20.4m, 20.5m, 19.4m, 16.5m, 19.1m, 19.4m, 19.8m, 19.9m, 19.9m, 16.9m, 18m, 18.4m, 18.7m, 18.9m, 18.5m, 15.6m, 17.4m, 17.8m, 18.1m, 18.3m, 18.4m, 15.9m, 16.5m, 16.9m, 17.2m, 17.4m, 17.5m, 14.9m, 15.9m, 16.3m, 16.6m, 16.8m, 17m, 15.2m, 15.1m, 15.5m, 15.8m, 16m, 16.2m, 14m, 14.5m, 14.9m, 15.3m, 15.4m, 15.6m, 14.3m, 13.8m, 14.2m, 14.6m, 14.8m, 14.9m, 13.3m, 13.2m, 13.6m, 14m, 14.2m, 14.4m, 13.7m, 12.6m, 13m, 13.4m, 13.6m, 13.8m, 12.7m, 12m, 12.4m, 12.8m, 13m, 13.3m, 13m, 11.4m, 11.9m, 12.3m, 12.5m, 12.7m, 12.2m, 10.9m, 11.3m, 11.8m, 12m, 12.2m, 12.3m, 10.4m, 10.9m, 11.3m, 11.5m, 11.7m, 11.6m, 9.9m, 10.3m, 10.8m, 11m, 11.2m, 11.3m, 9m, 9.4m, 9.8m, 10.1m, 10.3m, 10.4m, 8.5m, 9.1m, 9.5m, 9.7m, 10m, 10m, 8.1m, 8.5m, 9m, 8.4m, 8.6m, 8.7m, 7.7m, 8.3m, 8.7m, 8.9m, 9.2m, 9.2m, 7.3m, 7.7m, 8.1m, 8.4m, 8.6m, 8.7m, 7.2m, 7.4m, 7.7m, 7.8m, 7m, 6.5m, 6.7m, 6.9m, 7.2m, 7.3m, 6.2m, 6.7m, 6.9m, 7.2m, 7.3m, 6.1m, 6.5m, 6.8m, 7m, 7.1m, 5.5m, 6m, 6.2m, 6.5m, 6.6m, 5.9m, 6.1m, 6.4m, 6.5m, 4.9m, 5.3m, 5.6m, 5.9m, 6m, 5.5m, 5.9m, 6.1m, 6.4m, 6.5m, 4.7m, 4.9m, 5.2m, 5.3m, 4.2m, 4.4m, 4.7m, 4.8m, 4.4m, 4.7m, 4.8m, 3.9m, 4.2m, 4.3m, 3.4m, 3.7m, 3.8m, 3.2m, 3.3m, 2.9m, 2.8m, 2.5m, 2m, 2.1m, 1.68m."
What are the jib lengths for this crawler crane?,The jib lengths for this crawler crane are 59m and 62m.
What is the fixed jib offset angle for this crawler crane?,The fixed jib offset angle for this crawler crane is 10 degrees.
What are the rear counterweight and carbody counterweight values for this crawler crane?,The rear counterweight for this crawler crane is 112t and the carbody counterweight is 40t.
"What is the note regarding hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip?","The note states that the weight of hook blocks, lifting devices, and wire ropes reeving on the hooks and boom tip should be deducted from the rated values to get actual lifting capacity."
What is the other note regarding the rated values of the crane?,The other note states that all rated values are calculated when the crane is parking on firm and level ground with the load being lifted slowly and steadily.
What are the jib lengths available for this crawler crane?,"The jib lengths available for this crawler crane are 13m, 19m, 24.5m, 30.5m, 36m, and 42m."
What are the radius options available for the 13m jib length?,"The radius options available for the 13m jib length are 13m, 19m, 24.5m, 30.5m, 36m, and 42m."
What is the first radius option for the 19m jib length?,The first radius option for the 19m jib length is 27.8m.
What is the corresponding radius option for the 24.5m jib length to the 26.2m radius option for the 19m jib length?,The corresponding radius option for the 24.5m jib length to the 26.2m radius option for the 19m jib length is 26.5m.
What is the maximum radius available for the 30.5m jib length?,The maximum radius available for the 30.5m jib length is 34m.
What is the minimum radius available for the 36m jib length?,The minimum radius available for the 36m jib length is 30m.
What is the last radius option for the 42m jib length?,The last radius option for the 42m jib length is 14m.
Which jib length has a radius option of 22.3m?,The 22.3m radius option is for the 25.1m jib length.
What is the corresponding radius option for the 18.4m jib length when the 19.4m radius option is selected for the 19m jib length?,The corresponding radius option for the 18.4m jib length when the 19.4m radius option is selected for the 19m jib length is 17.5m.
Which jib length has a radius option of 14m?,The 14m radius option is available for both the 13m and 36m jib lengths.
What is the minimum radius available for the 44m jib length?,The minimum radius available for the 44m jib length is 34m.
Which jib length has a fixed jib offset angle of 30 degrees?,The name of the crawler crane is SCC3000ACrawler Crane - FJ and it has a fixed jib offset angle of 30 degrees for the boom.
What is the first jib measurement provided in the text?,The first jib measurement provided in the text is 13 meters.
What is the first radius measurement provided in the text?,The first radius measurement provided in the text is 28.4 meters.
What is the rated capacity of the SCC3000A crawler crane when the boom is at 35 meters and the jib is at 13 meters?,The text does not provide the rated capacity for these specific measurements.
What is the fixed jib offset angle for the SCC3000A crawler crane?,The fixed jib offset angle for the SCC3000A crawler crane is 30°.
What is the unit of measurement for the counterweight?,The unit of measurement for the counterweight is in tons (t).
What is the rear counterweight of the SCC3000A crawler crane?,The rear counterweight of the SCC3000A crawler crane is 112 tons.
What is the carbody counterweight of the SCC3000A crawler crane?,The carbody counterweight of the SCC3000A crawler crane is 40 tons.
"What is the weight of hook blocks, lifting devices, and wire ropes that should be deducted from the rated values of the SCC3000A crawler crane?","The weight of hook blocks, lifting devices, and wire ropes that should be deducted from the rated values of the SCC3000A crawler crane is not provided in the text."
What are the rated values calculated for in the SCC3000A crawler crane?,"The rated values are calculated when the crane is parked on firm and level ground with the load being lifted slowly and steadily, as mentioned in the text."
What is the boom length limit of the SCC3000A crawler crane as mentioned in the text?,The boom length limits mentioned in the text are 35 meters and 38 meters.
What is the smallest radius measurement provided in the text?,The smallest radius measurement provided in the text is 5.1 meters.
What is the largest jib measurement provided in the text?,The largest jib measurement provided in the text is 42 meters.
What is the largest radius measurement provided in the text?,The largest radius measurement provided in the text is 38 meters.
How many combinations of boom and jib measurements are provided in the text?,There are 25 combinations of boom and jib measurements provided in the text.
What is the second jib measurement provided in the text?,The second jib measurement provided in the text is 19 meters.
What is the second radius measurement provided in the text?,The second radius measurement provided in the text is 28.1 meters.
What is the last boom measurement provided in the text?,The last boom measurement provided in the text is 10 meters.
What is the last jib measurement provided in the text?,The last jib measurement provided in the text is also 10 meters.
What is the relationship between the measurements provided in the text and the actual lifting capacity of the SCC3000A crawler crane?,"The measurements provided in the text are the rated values, and the actual lifting capacity should be calculated by deducting the weight of hook blocks, lifting devices, and wire ropes from these rated values."
What are the jib lengths available for the FJ crane in meters?,"The jib lengths available for the FJ crane are 13m, 19m, 24.5m, 30.5m, 36m, and 42m."
What is the radius for a 13m jib length?,The radius for a 13m jib length is 26.9m.
What is the radius for a 19m jib length?,The radius for a 19m jib length is 27.2m.
What is the boom length for a 20.1m radius?,The boom length for a 20.1m radius is 24.6m.
What is the radius for a 24.9m jib length?,The radius for a 24.9m jib length is 20.1m.
What is the minimum radius for the FJ crane?,The minimum radius for the FJ crane is 10.1m.
What is the radius for a 42m jib length?,The radius for a 42m jib length is 12.4m.
What is the maximum jib length for the FJ crane?,The maximum jib length for the FJ crane is 42m.
What is the radius for a 15.7m jib length?,The radius for a 15.7m jib length is 19.8m.
What is the minimum jib length for the FJ crane?,The minimum jib length for the FJ crane is 13m.
What is the boom length for a 14.4m radius?,The boom length for a 14.4m radius is 20.8m.
What is the radius for a 30.5m jib length?,The radius for a 30.5m jib length is 19.2m.
