question,answer
What kind of optional equipment can be adapted to the SW405K wheel loader?,"The SW405K wheel loader can be adapted with optional equipment such as forks, scrapers, or different bucket types."
What kind of responsibility does SANY assume for the use of the SW405K wheel loader?,SANY assumes no responsibility for any consequences caused by use outside the specified range of the machine.
What directions are used in this manual to indicate the moving direction of the machine when viewed from the operator seat?,"The front, right, back, and left directions are used in this manual to indicate the moving direction of the machine when viewed from the operator seat."
Where are product identification plates located on the SW405K Wheel Loader?,Product identification plates on the SW405K Wheel Loader are located in various places on the machine.
What information can be found on the machine identification plate?,The machine identification plate lists the model and serial numbers that will be needed by a SANY dealer when ordering replacement parts or providing assistance with the machine.
Where is the machine identification plate located on the SW405K Wheel Loader?,The machine identification plate is on the front left of the frame.
Where is the engine identification plate located on the SW405K Wheel Loader?,The engine identification plate is on the lower left side of the engine.
What is the transmission identification plate for and where is it located?,The transmission identification plate is used for identifying the transmission and it is located on the front left of the transmission.
Where is the axle identification plate located on the SW405K Wheel Loader?,The axle identification plate is located on the front left of the axle housing.
What is the company that manufactured the SW405K Wheel Loader?,SANY
"What is the address of SANY's location in Peachtree City, GA?","318 Cooper Circle, Peachtree City, GA 30269"
What is the website of SANY America?,www.sanyamerica.com
What is the phone number to contact SANY America?,470-552-SANY (7269)
How can you find a dealer for SANY products?,Go to www.sanyamerica.com/find-a-dealer
What is the purpose of the table provided in the text?,To record the product information related to the SW405K Wheel Loader machine.
What information related to the machine should be recorded in the table?,"Machine Serial Number, Engine Serial Number, Front Axle Serial Number, Rear Axle Serial Number, Transmission Serial Number, Hydraulic Pump Serial Number, Dealer Name, Dealer Address, and Dealer Phone Numbers."
What is the purpose of this form?,The purpose of this form is to report any problems found in the manual and request corrections from SANY.
What should you do if you find a problem with the manual?,"If you find a problem with the manual, you should make a copy of this page, complete the form below, and send it to SANY."
"What information should you provide in the ""Date of This Notification"" section?","In the ""Date of This Notification"" section, you should provide the date when you are making the notification of the problem."
"What is the ""Company Name"" section for?","The ""Company Name"" section is for providing the name of the company that is making the correction request."
"What is the ""Department"" section for?","The ""Department"" section is for providing the name of the department within the company that is making the correction request."
"What information should you provide in the ""Street Address"" section?","In the ""Street Address"" section, you should provide the street address of the company making the correction request."
"What information should you provide in the ""City, State, and ZIP/Postal Code"" section?","In the ""City, State, and ZIP/Postal Code"" section, you should provide the city, state or province, and postal code or zip code of the company making the correction request."
"What is the ""Phone"" section for?","The ""Phone"" section is for providing the phone number of the company making the correction request."
"What is the ""E-mail"" section for?","The ""E-mail"" section is for providing the e-mail address of the company making the correction request."
"What information should you provide in the ""Machine Model and Serial No."" section?","In the ""Machine Model and Serial No."" section, you should provide the model and serial number of the machine related to the problem being reported."
"What should you describe in the ""Description of Problem"" section?","In the ""Description of Problem"" section, you should describe the problem you found with the manual, such as wrong information, unclear or erroneous procedure."
"What is the ""Corrective Action Taken (if any)"" section for?","The ""Corrective Action Taken (if any)"" section is for describing any corrective action you have taken to address the problem reported."
What is ANSI?,ANSI stands for American National Standards Institute.
What is CCTV?,CCTV stands for Closed-Circuit Television.
What is DEF?,DEF stands for Diesel Exhaust Fluid.
What is DPF?,DPF stands for Diesel Particulate Filter.
What is DVR?,DVR stands for Digital Video Recorder.
What is EAT?,EAT stands for Exhaust After Treatment.
What is ECM?,ECM stands for Engine Control Module.
What is GPS?,GPS stands for Global Positioning System.
What is HEST?,HEST stands for High Exhaust System Temperatures.
What is ISO?,ISO stands for International Organization for Standardization.
What is KD?,KD stands for Kickdown.
What is LCD?,LCD stands for Liquid Crystal Display.
What is OEM?,OEM stands for Original Equipment Manufacturer.
What is OSHA?,"OSHA stands for Occupational Safety and Health Administration. It is mentioned twice in the text, so I assumed you wanted two questions for it."
What is PPE?,PPE stands for Personal Protective Equipment.
What is PQR?,PQR stands for Procedure Qualification Report.
What is ROPS?,ROPS stands for Rollover Protective Structure.
What is SAE?,SAE stands for Society of Automotive Engineers.
What is SCA?,SCA stands for Supplemental Coolant Additive.
What is SCR?,SCR stands for Selective Catalytic Reduction.
What is SDS?,SDS stands for Safety Data Sheet.
What is WPS?,WPS stands for Weld Procedure Specification.
What are the four signal words used in this manual to identify the degree of consequence of hazards?,"DANGER, WARNING, CAUTION, and NOTICE."
"What does the signal word ""DANGER"" indicate?","A hazardous situation which, if not avoided, will result in death or serious injury."
Who is permitted to operate and/or work on the SW405K Wheel Loader?,Only qualified personnel who have been specifically trained on this machine are permitted to operate and/or work on it.
Why should the operator wear a seat belt at all times while operating the SW405K Wheel Loader?,To ensure safety in the event of a machine malfunction or accident.
What are operator aids designed to do on the SW405K Wheel Loader?,"Operator aids such as warning lights, horns, or buzzers, along with displays on the monitors, are designed to alert the operator to potential problems."
What should the operator do if any operator aid is not working properly on the SW405K Wheel Loader?,Stop all work immediately and report the fault to a SANY dealer.
What should the operator do with this manual before operating the SW405K Wheel Loader?,Read and understand this manual and any accompanying manuals before operating this machine.
Who should be familiar with the safe operating practices stated in this manual?,All personnel in the working area around the machine.
What should the operator check before the start of each workday shift?,The maintenance log to make sure routine maintenance has been performed as stated in this manual.
Who should be on the machine while it is in operation?,Only the operator.
What should be done with the bucket or work equipment when not in use on the SW405K Wheel Loader?,Lower it to the ground.
What should be done before excavating with the SW405K Wheel Loader?,Ensure that all underground utilities have been marked.
What should you do before entering or exiting a SW405K wheel loader?,"You should ensure that the machine is at a complete stop, work equipment is lowered to the ground, engine is shut down, and never jump on or off the machine."
How should you enter or exit the cab of the SW405K wheel loader?,"You should always use the provided grab handles and steps, and face the machine while mounting and dismounting."
What should you maintain while entering or exiting the SW405K wheel loader?,"You should always maintain three-point contact (both feet and one hand, or one foot and both hands) with the grab handles, steps, and deck for proper support."
What type of footwear should be worn when operating the SW405K wheel loader?,Safety shoes with slip-resistant soles should be worn.
What should you avoid when walking on the SW405K wheel loader?,"You should avoid walking on any surface of the machine if its slip-resistant material is missing or excessively worn. You should also not step on surfaces of the machine that are not approved for walking or working. Keep all walking and working surfaces of the machine clean, dry, and slip-resistant."
What should you keep clear and clean on the SW405K wheel loader?,"You should always keep grab handle, steps, and walkway areas clean and clear of mud, oil, grease, or similar debris. If these areas are damaged, have them repaired or replaced immediately."
What is the SW405K wheel loader primarily used for?,"The SW405K wheel loader is used primarily for digging or loading. It can also remove ice and snow from road surfaces, and work on slopes and ditching."
What responsibility does SANY assume for unauthorized use of the SW405K wheel loader?,SANY assumes no responsibility for any consequence caused by use outside this specified range.
What are some examples of unauthorized use of the SW405K wheel loader?,"Unauthorized uses include, but are not limited to, transporting people on the machine or in the cab and overloading the machine beyond its capacity."
What should you avoid doing to the SW405K wheel loader?,You should not perform any unauthorized machine modifications.
What should you periodically inspect on the SW405K wheel loader?,"You should inspect the escape tool periodically, replacing it if it appears damaged or unable to break the cab window for emergency exit."
"What safety measures should you observe regarding fuel, oil, and engine coolants on the SW405K wheel loader?","You should check the machine daily for debris buildup, keep open flames, airborne sparks, and burning embers away from the machine, shut down the engine and do not smoke when refueling or servicing the machine, add oil, fuel, or engine coolant in a well-ventilated area, and clean up any spilled fluids immediately."
What can cause electrical fires on the SW405K wheel loader?,"Short circuits, damaged wiring, or overcharging batteries can cause fires."
What should you do regarding the fire extinguisher on the SW405K wheel loader?,"You should always keep the fire extinguisher in the cab, inspect its condition daily, and make sure it is within the listed inspection period. The fire extinguisher must be at least a 2.5 lb. Class ABC rated fire extinguisher (National Fire Protection Association [NFPA] 10 Standard for Portable Fire Extinguishers)."
What should you do in case of fire on the SW405K wheel loader?,"You should immediately press the emergency stop to shut down the machine, get clear of the machine and immediately call for help, exit the area and remain clear of the machine until the fire response team gives permission to come near the machine, and if using a fire extinguisher, always aim the extinguisher nozzle at the base of the fire."
What should you avoid during operation or travel of the SW405K wheel loader?,"You should keep arms, hands, and body inside the windows and door during operation or travel and keep all guards in place on the machine. You should never remove the side window of the machine. If this window becomes damaged or broken, replace it immediately."
What should you do regarding the area where the SW405K wheel loader is being operated?,You should block off the area where the machine is being operated and keep all unnecessary personnel out of the work area.
What warning does diesel engine exhaust of the SW405K wheel loader pose in California?,"Diesel engine exhaust and some of its constituents are known to the State of California to cause cancer, birth defects, and other reproductive harm."
What safety measures should you observe regarding diesel engine exhaust of the SW405K wheel loader?,"You should use an exhaust pipe extension to vent the exhaust to the outdoors if it is necessary to run an engine in an enclosed area, and open doors and use fans to supply fresh air to the area."
What should you ensure regarding machine decals on the SW405K wheel loader?,"All safety and warning decals must be in place, undamaged, and visible. You should become familiar with the location and content of all decals on the machine, and contact a SANY dealer for replacement decals if needed."
What precautions should be taken before performing any maintenance or repairs on the machine?,"Park the machine on a hard, level surface, lower the work equipment, shut down the engine, and block the wheels to prevent the machine from moving. Always perform the lockout/tagout procedure before servicing the machine and inform fellow workers before starting any step of the operation."
What personal protective equipment should be worn when carrying out operations or maintenance on the machine?,"The proper personal protective equipment (PPE) includes safety shoes, a hard hat, gloves, and goggles."
What should be done before disconnecting or removing components of the hydraulic system?,Relieve the system pressure to prevent fluids from spraying out. See “Relieve Hydraulic System Pressure” on page 5-36.
What precautions should be taken when adding fluids to the machine?,Be aware that fluid systems may be under pressure and hot.
What should be done when refueling the machine?,"Shut down the machine before removing the fuel tank cap, refuel only in a well-ventilated area, never smoke or allow open flames nearby while refueling the machine, and do not top off fuel tank."
What precautions should be taken when working with high-pressure fluid lines?,"Never perform repairs to items while any system is under pressure, never use hands to check or feel for leaks, and always wear safety glasses and leather gloves. Use a piece of wood or cardboard to check for leaks."
What should be done if high-pressure fluids penetrate skin?,Seek medical attention immediately.
What should be done when cleaning the machine?,"Always use hot water and mild, nonflammable, grease-cutting soaps or cleaning agents to clean the machine. Never use flammable or caustic cleaning agents."
What precautions should be taken when working with the electrical system?,"Clean the electrical system using industry approved electrical cleaners. Contact a SANY dealer for more information on approved products. Never use caustic soaps, high-pressure water, or steam cleaners to clean the electrical system."
What precautions should be taken when working with batteries?,"Always work in a well-ventilated area, always wear personal protective equipment (PPE), and be aware of battery gases which are extremely explosive."
What is the correct order for disconnecting the battery cables?,"Always disconnect the negative (-) cable first, then disconnect the positive (+) cable."
Who is responsible for replacing damaged or missing safety decals on the SW405K Wheel Loader?,The owner or operator is responsible for replacing damaged or missing safety decals on the SW405K Wheel Loader.
Is it allowed to leave the machine running while it is unattended?,"No, it is not allowed to leave the machine running while it is unattended."
What should be done before exiting the machine to prevent tampering by unauthorized personnel?,"The machine should be parked in a safe, level area, lower any work equipment to the ground, lock the controls, and secure the machine to prevent tampering by unauthorized personnel before exiting."
Who is responsible for conducting periodic safety training and familiarizing all personnel with emergency procedures?,The operator’s employer is responsible for conducting periodic safety training and familiarizing all personnel with emergency procedures.
What should be done if pedestrians are in the area while operating the machine?,"If pedestrians are in the area, sound the horn and proceed slowly."
What should be done when working with another person on a jobsite to ensure safety?,Make sure that all personnel involved understand all industry-standard hand signals that are to be used.
Should the operator respond to operating signals from anyone or only from the proper signal person?,The operator must only respond to operating signals from the proper signal person.
What should be done if visibility becomes blocked for any reason while operating the machine?,Stop operation immediately if visibility becomes blocked for any reason.
Are operator aids required to be used when operating the machine by OSHA?,"Yes, if the machine is equipped with operator aids, OSHA requires this equipment to be used when operating the machine."
What should be done before using personal protective equipment (PPE)?,Make sure that PPE is in good working condition before using it.
What is the effect of prolonged exposure to loud noise on the hearing?,Prolonged exposure to loud noise can cause impairment or loss of hearing.
What should be confirmed before operating the machine?,Confirm the relative positions of the frame and operator before operating the machine.
What precautions should be taken while traveling with the machine?,"Always travel in a safe, controlled manner and remain alert at all times. Be sure the areas around the machine are clearly visible. When traveling over rough ground, travel at low speed and steer carefully. Whenever possible, avoid traveling over obstacles or raised areas. Traveling over obstacles or raised areas could result in loss of control or damage to the machine."
What should be maintained during travel?,"During travel, always maintain a safe distance from people and surrounding objects."
What should be checked before traveling in public areas?,Always check to make sure areas such as bridges and roadways will support the weight of the machine before attempting to cross.
"What should be done with oil, coolant, and filters after use?","Recycling used oil, coolant, and filters helps conserve natural resources and is good for the environment. Obey all regulations when disposing of harmful items such as oil, fuel, filters, batteries, hydraulic oil, and used parts."
What should be avoided when operating the machine in high-voltage areas?,"Avoid direct contact with high-voltage power lines while operating. High-voltage contact could result in equipment damage, death, or serious injury. Stay clear of overhead power lines. Treat all overhead power lines as being energized and not insulated. Be sure all underground utilities have been marked before excavating."
"What can contaminate and pollute soil, groundwater, streams, and rivers if mishandled?","Oil and coolant poured onto the ground, into bodies of water, into storm drains, or tossed into trash cans (even in a sealed container) can contaminate and pollute soil, groundwater, streams, and rivers."
What is the component located at the number 1 in the figure 3-1?,The boom is located at the number 1 in the figure 3-1.
Where is the diesel exhaust fluid (DEF) tank of the machine?,The diesel exhaust fluid (DEF) tank is located on the right side of the machine (number 11).
What is the component located at the number 2 in the figure 3-1?,The boom cylinders is located at the number 2 in the figure 3-1.
Where is the counterweight of the machine located?,The counterweight is located at the number 12.
Which component is located at the number 3 in the figure 3-1?,The bucket is located at the number 3 in the figure 3-1.
Where is the hydraulic oil tank on the machine?,The hydraulic oil tank is located at the number 8 in the figure 3-1.
Which number is corresponding to the battery compartment location on the machine?,The battery compartment is located at the number 13.
What is the location of the fuel tank filler cap on the machine?,"The fuel tank filler cap is located on the right side of the machine, number 14."
What is located at the number 5 in the figure 3-1?,"The headlights, turn signals, and horn are located at the number 5 in the figure 3-1."
Where is the rear tire and wheel of the machine located?,The rear tire and wheel is located at the number 15.
What component corresponds to the number 16 in the figure 3-1?,The rear frame corresponds to the number 16 in the figure 3-1.
Where is the bucket of the machine located?,The bucket is located at the number 20 in the figure 3-1.
What number is corresponding to the articulation joint of the machine?,The articulation joint is located at the number 9.
Where is the engine compartment of the machine located?,The engine compartment is located at the number 13.
What is located at the number 17 in the figure 3-1?,The steps are located at the number 17.
Where is the front tire and wheel of the machine located?,The front tire and wheel is located at the number 19.
What is located at the number 18 in the figure 3-1?,The rear frame corresponds to the number 18 in the figure 3-1.
Which component is located at the number 10 in the figure 3-1?,The backup camera is located at the number 10 in the figure 3-1.
Which number corresponds to the front frame location of the machine?,The front frame corresponds to the number 6.
Where is the cab of the machine located?,The cab is located at the number 7 in the figure 3-1.
What is located at the number 14 in the figure 3-1?,The fuel tank filler cap is located at the number 14 in the figure 3-1.
Which component is located at the number 12458?,"It is unclear which component or location is assigned to the number ""12458,"" as it is not present in the provided text or figure. Please check the source information again or provide more context."
How do you inspect the cab door seal for wear or damage?,"The text does not provide specific instructions on how to inspect the cab door seal, but it recommends to replace it if signs of wear or damage are found."
How do you secure the cab door in the open position?,"To secure the door in the open position, press the door handle button, swing the door open, and firmly seat the door catch into the door latch."
How do you open the electrical compartment access door?,"To open the electrical compartment access door, unlock and press the door handle button to swing the door open."
How do you prevent the electrical compartment access door from closing unexpectedly?,Place the support rod into the bracket to prevent the door from closing unexpectedly.
How do you inspect the engine compartment door seal for wear or damage?,Inspect the electrical compartment door seal for signs of wear or damage and replace the seal as needed.
How do you open the upper engine compartment door?,Unlock and pull the latch to open the upper engine compartment door.
How do you open the lower engine compartment door?,The upper engine compartment door must be opened before opening the lower engine compartment door. Unlock and pull the latch to open the lower engine compartment door.
How do you open the DEF tank access door?,Unlock and lift the handle to open the DEF tank access door.
How do you open the radiator and oil cooler access door?,Unlock and pull the latch to open the radiator and oil cooler access door.
How do you secure the battery compartment cover?,"To secure the battery compartment cover, install a lock through the brackets or lift the battery compartment cover until the support rod is seated in the locked position in the bracket."
How do you disconnect battery power from the machine?,"To disconnect battery power from the machine, turn the key switch to OFF, open the battery compartment door, turn the battery disconnect switch to the OFF position, and close the battery compartment door."
What controls the machine's direction of travel?,The steering wheel (1)
What is the function of the steering knob on the steering wheel?,The steering knob (2) provides one-hand operation when needed.
What feature allows steering for a limited amount of time after the engine has stopped?,The machine is equipped with an emergency steering feature.
Where is the steering column tilt lock located?,The steering column tilt lock (1) is on the right side of the steering column behind the steering wheel.
What does the transmission control lever control?,The transmission control lever (1) controls the machine's direction of travel and can be locked in the neutral position by the neutral lock (2).
What is the function of the forced downshifting function?,"The forced downshifting function is operated by the kickdown (KD) button (1), located on the end of the transmission control lever."
How many gears can be selected by rotating the transmission control lever?,"The transmission control lever can be rotated to select four gears (1, 2, 3, or 4)."
What is the function of the KD button located on the joystick?,"The KD button (2) on the joystick can also be used to select forced downshifting, if desired."
Where is the front differential lock switch located?,The front differential lock switch (1) is on the far left on the floor of the cab.
How is the front differential lock engaged and disengaged?,Press and hold the switch to engage the front differential lock and release the switch to disengage it.
What are the left and right service brake pedals used for?,Press the left or right service brake pedals (1) to apply the service brakes to slow or stop the machine.
What provides a limited supply of pressurized hydraulic oil for emergency braking in case of engine failure?,The accumulator can provide a limited supply of pressurized hydraulic oil for emergency braking.
What does the monitor on the front console display?,The monitor (1) on the front console displays various machine operational parameters and the operating system menu screens.
Where is the key switch/transmission shift selector dial panel located?,The key switch/transmission shift selector dial panel (6) is located on the lower front switch panel.
What are the functions of the transmission control lever positions?,"The machine will move forward with the transmission control lever at the F position, move backward with the transmission control lever at the R position, or remain stationary with the transmission control lever at the N position, and the engine running."
What notes are given regarding the transmission control lever and the joystick F-N-R rocker switch?,The engine can be started only when both the transmission control lever and the joystick F-N-R rocker switch are in the neutral position.
What controls the machine direction and overrides the joystick F-N-R switch?,The transmission control lever on the left side of the steering column.
What should be done before selecting the required direction of operation when the joystick switch is overridden?,The joystick switch must be moved to neutral.
What switch is used to enable or disable the joystick F-N-R rocker switch?,"The joystick forward/reverse enable/disable switch, located on the lower rear switch panel."
What does the switch LED above F indicate when it is on?,The Joystick F-N-R rocker switch is disabled.
What does the switch LED above R indicate when it is on?,The Joystick F-N-R rocker switch is enabled.
What is the purpose of the adjustable armrest?,It is provided for the comfort of the operator.
Where is the horn button located?,The horn button is on top of the joystick.
What is the KD button used for?,It is used to select the forced downshifting function.
What does the engine diagnostic rocker switch display when pressed?,It displays current engine faults (if any are present).
What does the auxiliary power supply socket provide power for?,It is used to charge or operate 12V electronic devices.
What switch is used to enable or disable the park brake?,The park brake switch rocker switch on the upper switch panel.
What is the quick coupler rocker switch used for?,"It engages and disengages the quick coupler, if equipped."
What does the battery discharge indicator lamp indicate?,It illuminates if there is a fault in the charging system.
What switch controls the front/rear work lights?,The front/rear work light switch on the lower front switch panel.
What does the windshield washer switch do when pressed and held?,It sprays windshield washer fluid onto the windshield.
What does the rear window washer switch do when pressed and held?,It sprays washer fluid onto the rear window.
What switch controls the rear window wiper?,The rear window wiper switch on the lower front switch panel.
What switch controls the windshield wiper?,The windshield wiper switch on the lower front switch panel.
What switch operates the headlight and taillights?,The headlight/taillight switch on the lower front switch panel.
What switch controls the beacon light?,The beacon light switch on the lower rear switch panel.
What switch enables or disables the loader bucket and boom back to the dig position?,The return-to-dig enable switch on the lower rear switch panel.
What switch will automatically shift the transmission to neutral when either brake pedal is pressed?,The clutch cutoff switch on the lower rear switch panel.
What switch enables or disables ride control while traveling over rough terrain by damping boom movement?,The ride control enable switch on the lower rear switch panel.
What switch limits the bucket height to a set position?,The bucket height stop enable switch on the lower rear switch panel.
What switch operates the flashing hazard lights?,The hazard light switch on the lower rear switch panel.
How many key positions does the key switch have?,"The key switch has four key positions: OFF, HEAT, ON, and START."
What does the HEAT position of the key switch do?,It preheats the engine for cold-weather starting as required.
What does the START position of the key switch do?,It starts the engine.
What does the OFF position of the key switch do?,It shuts down the engine and the electrical current.
What does the ON position of the key switch do?,It allows the engine to remain running (if already started) and provides electrical current to the various electrical system switches.
What does the fan speed control rotary switch control?,"It controls the four fan speeds: OFF, Slow, Medium, and Fast."
What does the heater on/off control switch do?,It operates the cab heater.
What does the temperature control dial adjust?,It adjusts the air temperature inside the cab.
What does the recirculated/fresh-air control switch do?,It controls airflow from outside air into the cab or recirculate the existing air inside the cab.
What does the armrest angle adjustment dial adjust?,It adjusts the angle of the armrest up or down.
What does the backrest adjustment lever do?,It moves the backrest to the desired position.
What does the seat and armrest console forward/backward adjustment do?,It slides the seat (with armrest) forward or backward.
What does the suspension control lever do?,It adjusts the level of the seat suspension.
What does the seat base forward/backward adjustment do?,It moves the seat base forward or backward.
What does the seat bottom tilt adjustment do?,It adjusts the angle of the seat bottom.
What must be turned on for the radio to operate?,The battery disconnect switch and the key switch must be ON for the radio to operate.
What is the USB input used for?,The USB input is used to insert a USB device to be read/played in the device.
How do you begin the auto scan feature on the radio?,Press and release the AS/PS button once to begin the auto scan feature.
What does the AM/FM selector button do?,The AM/FM selector button toggles between AM and FM bands.
What does the Source/Sound (SRC) mode button do when pressed and released?,It toggles between the USB input and the radio.
What does the Time button do?,Pressing the TIME button displays the local time for 5 seconds. Holding the button sets the current time.
What do the Volume (VOL) + and – buttons control?,They control the volume level.
What do the TUNING ◄ and ► buttons do?,They search for the next available radio station frequency.
What are the Preset Station buttons used for?,They assign the current radio station to a button for easy access and select preselected stations.
What is the purpose of the antenna on the rear of the cab?,It helps to receive a stronger radio signal.
What is the backup camera monitor used for?,It displays the backup camera view and has a proximity alarm system built-in.
"What do the POWER, MENU, and MODE buttons do on the monitor controls?","They turn the camera system on or off, access the menu screen, and adjust the display contrast."
What is the CAM button used for?,It allows the operator to switch between two cameras (if equipped).
What do the – and + buttons do on the menu screen?,They scroll to the desired menu option.
"What do the BRIGHTNESS, CONTRAST, and COLOR options do on the picture screen?","They adjust the screen brightness, contrast, and color."
What does the MODE option do on the OPTION screen?,It allows the operator to choose the desired display mode.
What does the ZOOM option do on the OPTION screen?,It allows the operator to select the screen display format.
Where should the fire extinguisher be kept in the cab?,"The fire extinguisher should be kept in the cab, to the right of the operator seat."
What type of fire extinguisher is required for this machine?,The fire extinguisher must be at least a 2.5 lb. Class ABC rated fire extinguisher.
What should be done daily regarding the fire extinguisher?,"The condition of the fire extinguisher should be inspected daily, and it should be replaced immediately if damaged."
What is the purpose of the escape tool in the cab?,The escape tool can be used to break the rear window or cut the seat belt if the seat belt buckle cannot be released during an emergency.
How can the dome light inside the cab be controlled?,The dome light can be controlled by sliding the switch right to turn it on or left to turn it off.
In which cases a fuse should be replaced?,A fuse should be replaced if it is corroded or becomes loose in the fuse block.
What should be done before replacing a fuse?,"Before replacing a fuse, the key switch should be in the OFF position and the batteries should be disconnected."
What should be used when replacing a fuse?,"A fuse should always be replaced with one of the same amperage, never with one of a higher amperage."
Where can the ePower module fuse block and Vehicle Electrical Center (VEC) fuse block be found?,"They can be found in the electrical compartment, which can be accessed by following the instructions on page 3-5."
Where can the battery compartment fuse block be found?,"It can be found inside the battery compartment, which can be accessed by following the instructions on page 3-7."
"Where can the fuse locations, circuits, and amperages be found?","They can be found in the ""Inspect the Fuses"" section on page 5-25."
What screen is displayed during normal operation of the SW405K Wheel Loader?,The main menu screen or Home Screen is displayed during normal operation of the SW405K Wheel Loader.
What does the icon for the Cab-Mounted Front and Rear Work Lights display?,The icon for the Cab-Mounted Front and Rear Work Lights displays the on/off status of the work lights. It is illuminated green when all six work lights are on and white when the work lights are off or only the front cab work lights are on.
How are the headlights and taillights turned on and off?,The headlights/taillights are turned on and off from the right console switch panel.
What does the Right Turn Signal Icon display?,The Right Turn Signal Icon displays the on/off status of the right turn signal. It flashes green when the right turn signal switch is turned on and when the hazard light switch is turned on. It illuminates white when both the right turn signal switch and hazard light switches are off.
What does the Park Brake Icon display?,The Park Brake Icon displays the status of the park brake. It illuminates red when the park brake is engaged and flashes red with an alarm buzzer when brake pressure is low.
What does the Engine Tachometer display?,"The Engine Tachometer displays the engine rotation speed in hundreds of revolutions per minute (rpm). The blue section shows engine speed from 0 to 2300 rpm, the yellow section from 2400 to 2500 rpm, and the red section from 2600 to 3000 rpm."
What does the Transmission Setting display?,"The Transmission Setting displays the current transmission setting, either manual (MANU) or automatic (AUTO)."
What does the Speedometer display and what do the different color sections signify?,"The Speedometer displays the current speed in miles per hour (mph) or kilometers per hour (km/h). The blue section shows normal rated travel speed, the yellow section caution to reduce travel speed, and the red section severely exceeded rated travel speed, indicating immediate reduction of travel speed is required."
What does the Engine Coolant Temperature Gauge display and what do the different color sections signify?,"The Engine Coolant Temperature Gauge displays the coolant temperature in degrees Celsius. The needle in the white area signifies normal coolant temperature range, in the yellow area coolant temperature from 212°F–222°F (100°C–105°C), and in the red area coolant temperature from 223°F–248°F (106°C–120°C), indicating immediate shut down of the engine is required."
What does the DEF Level Indicator display?,The DEF Level Indicator shows the level of fluid in the DEF tank and is displayed on the main menu screen.
What does the Plus Button do?,The Plus Button raises the highlighted setting.
What does the Travel Gear Indicator display?,"The Travel Gear Indicator displays the current travel gear setting. It illuminates green when the machine is operating and is not illuminated when the machine is parked. Park gear, P, is displayed."
What does the Home Button do?,The Home Button returns to the Home screen.
How can you check the current fuel level in the tank of a SW405K Wheel Loader?,You can check the current fuel level in the tank of a SW405K Wheel Loader by looking at the fuel level gauge. The needle in the fuel level gauge displays the current level of fuel as a percentage of the full fuel tank.
What does it mean if the needle in the fuel level gauge is in the white area?,"If the needle in the fuel level gauge is in the white area, it means that the fuel level is greater than 10 percent of a full tank."
What does it mean if the needle in the fuel level gauge is in the yellow area and the icon is flashing?,"If the needle in the fuel level gauge is in the yellow area and the icon is flashing, it means that the fuel level is 10 percent of a full tank or less."
How can you access the System Information screens on a SW405K Wheel Loader?,"To access the System Information screens on a SW405K Wheel Loader, press the F1 function button on the Home screen."
